gene_id	symbol	description	locus	human_gene_id	human_gene_name
POLR2B	POLR2B	DNA-directed RNA polymerase II subunit RPB2	13:49852758-49900240	5431	POLR2B
FGGY	FGGY	FGGY carbohydrate kinase domain-containing protein	5:50468743-50883534	55277	FGGY
NCBP1	NCBP1	nuclear cap-binding protein subunit 1	11:55273732-55310040	4686	NCBP1
LOC403581	LOC403581	peptidylprolyl isomerase A (cyclophilin A) pseudogene	7:81058591-81059333	<none>	<none>
ALDH6A1	ALDH6A1	"methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"	8:47586417-47609987	4329	ALDH6A1
GOLPH3	GOLPH3	Golgi phosphoprotein 3	4:76184359-76239900	64083	GOLPH3
PDHX	PDHX	"pyruvate dehydrogenase protein X component, mitochondrial"	18:33345081-33409593	8050	PDHX
PPP6R2	PPP6R2	serine/threonine-protein phosphatase 6 regulatory subunit 2	10:17751658-17835270	9701	PPP6R2
TMF1	TMF1	TATA element modulatory factor	20:22817189-22849345	7110	TMF1
OPLAH	OPLAH	5-oxoprolinase	13:38308149-38320210	26873	OPLAH
PPRC1	PPRC1	peroxisome proliferator-activated receptor gamma coactivator-related protein 1	28:14859696-14874840	23082	PPRC1
C6H16orf91	C6H16orf91	protein CCSMST1	6:39847422-39849208	283951	UQCC4
FARS2	FARS2	"phenylalanine--tRNA ligase, mitochondrial"	35:6683189-7182810	10667	FARS2
LOC111092155	LOC111092155	"uncharacterized LOC111092155, transcript variant X2"	24:5034762-5046258	<none>	<none>
NSUN4	NSUN4	5-methylcytosine rRNA methyltransferase NSUN4	15:14143770-14162312	387338	NSUN4
NUTF2	NUTF2	nuclear transport factor 2	5:82200756-82218537	10204	NUTF2
PPP1R7	PPP1R7	protein phosphatase 1 regulatory subunit 7	25:51239231-51264386	5510	PPP1R7
TIGD4	TIGD4	tigger transposable element-derived protein 4	15:50928211-50977545	201798	TIGD4
TSC22D3	TSC22D3	TSC22 domain family protein 3	X:81846235-81908809	1831	TSC22D3
ZNF382	ZNF382	zinc finger protein 382	1:117069239-117121249	84911	ZNF382
LOC612523	LOC612523	EP300-interacting inhibitor of differentiation 2	1:114499292-114500486	<none>	<none>
MIR8883	MIR8883	microRNA mir-8883	8:33153811-33153955	<none>	<none>
TIMM44	TIMM44	mitochondrial import inner membrane translocase subunit TIM44	20:53022219-53035977	10469	TIMM44
WDR89	WDR89	WD repeat-containing protein 89	8:38397091-38433470	112840	WDR89
MED23	MED23	mediator of RNA polymerase II transcription subunit 23	12:337561-382633	9439	MED23
MRPL4	MRPL4	"39S ribosomal protein L4, mitochondrial"	20:51233746-51240779	51073	MRPL4
MTERF2	MTERF2	"transcription termination factor 2, mitochondrial"	10:32834267-32849133	80298	MTERF2
TXNDC9	TXNDC9	thioredoxin domain-containing protein 9	10:44391253-44404121	10190	TXNDC9
BANF1	BANF1	barrier-to-autointegration factor	18:51772120-51773921	8815	BANF1
EED	EED	polycomb protein EED	21:13357756-13387545	8726	EED
EIF2D	EIF2D	eukaryotic translation initiation factor 2D	38:3436042-3455816	1939	EIF2D
MRPL12	MRPL12	"39S ribosomal protein L12, mitochondrial"	9:1317578-1322281	6182	MRPL12
USP4	USP4	ubiquitin carboxyl-terminal hydrolase 4	20:40306950-40360016	7375	USP4
LOC106558431	LOC106558431	"uncharacterized LOC106558431, transcript variant X2"	X:92861879-92935843	<none>	<none>
MIEF1	MIEF1	mitochondrial dynamics protein MID51	10:26495583-26510147	54471	MIEF1
MRPS18B	MRPS18B	"28S ribosomal protein S18b, mitochondrial"	12:574914-581424	28973	MRPS18B
ZZEF1	ZZEF1	zinc finger ZZ-type and EF-hand domain-containing protein 1	5:30332873-30434076	23140	ZZEF1
EEF2	EEF2	elongation factor 2	20:55973982-55983220	1938	EEF2
LOC612587	LOC612587	eukaryotic translation initiation factor 2 subunit 2-like	X:44027151-44028564	<none>	<none>
NSUN5	NSUN5	28S rRNA (cytosine-C(5))-methyltransferase	6:6804538-6816853	55695	NSUN5
RNASEH1	RNASEH1	ribonuclease H1	17:2119317-2129972	246243	RNASEH1
SWT1	SWT1	transcriptional protein SWT1	7:18210975-18306027	54823	SWT1
AP3D1	AP3D1	AP-3 complex subunit delta-1	20:57363843-57402849	8943	AP3D1
ZFP91	ZFP91	E3 ubiquitin-protein ligase ZFP91	18:38207431-38254559	80829	ZFP91
LOC481722	LOC481722	complement C4-A	12:1567611-1582146	<none>	<none>
PRKD2	PRKD2	serine/threonine-protein kinase D2	1:109912894-109947820	25865	PRKD2
USP19	USP19	ubiquitin carboxyl-terminal hydrolase 19	20:40470345-40481844	10869	USP19
AHCYL2	AHCYL2	adenosylhomocysteinase 3	14:7205378-7366837	23382	AHCYL2
MED31	MED31	mediator of RNA polymerase II transcription subunit 31	5:30893358-30900363	51003	MED31
POT1	POT1	protection of telomeres protein 1	14:10852699-10933293	25913	POT1
PSMD10	PSMD10	26S proteasome non-ATPase regulatory subunit 10	X:82236960-82244460	5716	PSMD10
ARHGEF7	ARHGEF7	rho guanine nucleotide exchange factor 7	22:59330969-59457416	8874	ARHGEF7
ATP5F1A	ATP5F1A	ATP synthase F1 subunit alpha	7:45108044-45116902	498	ATP5F1A
DOP1B	DOP1B	protein dopey-2	31:31104455-31209762	9980	DOP1B
LSM12	LSM12	protein LSM12 homolog	9:19182875-19206070	124801	LSM12
MRRF	MRRF	"ribosome-recycling factor, mitochondrial"	9:60350840-60408865	92399	MRRF
OSBP	OSBP	oxysterol-binding protein 1	18:37593776-37628258	5007	OSBP
TRIM21	TRIM21	E3 ubiquitin-protein ligase TRIM21	21:26901794-26909757	6737	TRIM21
DUSP22	DUSP22	dual specificity protein phosphatase 22	35:1965530-2021399	56940	DUSP22
SPTY2D1	SPTY2D1	protein SPT2 homolog	21:41701955-41723954	144108	SPTY2D1
SVBP	SVBP	small vasohibin-binding protein	15:619542-626797	374969	SVBP
TTC5	TTC5	tetratricopeptide repeat protein 5	15:17777371-17795817	91875	TTC5
C20H19orf53	C20H19orf53	leydig cell tumor 10 kDa protein homolog	20:49047380-49050324	28974	C19orf53
GAB2	GAB2	GRB2-associated-binding protein 2	21:20533842-20725945	9846	GAB2
PPM1F	PPM1F	protein phosphatase 1F	26:31331626-31362486	9647	PPM1F
PUS3	PUS3	tRNA pseudouridine(38/39) synthase	5:8619943-8630897	83480	PUS3
GTPBP6	GTPBP6	putative GTP-binding protein 6	X:36770-58387	8225	GTPBP6
ISG20L2	ISG20L2	interferon-stimulated 20 kDa exonuclease-like 2	7:41240102-41245606	81875	ISG20L2
PIGO	PIGO	GPI ethanolamine phosphate transferase 3	11:51958503-51967607	84720	PIGO
VBP1	VBP1	prefoldin subunit 3	X:124323269-124343955	7411	VBP1
LOC609445	LOC609445	palmitoyltransferase ZDHHC11	34:11713120-11761000	<none>	<none>
M6PR	M6PR	cation-dependent mannose-6-phosphate receptor	27:9351274-9360837	4074	M6PR
SHPRH	SHPRH	E3 ubiquitin-protein ligase SHPRH	1:37318130-37412330	257218	SHPRH
CETN2	CETN2	centrin-2	X:122021281-122026614	1069	CETN2
EEF1AKMT2	EEF1AKMT2	EEF1A lysine methyltransferase 2	28:34434875-34458992	399818	EEF1AKMT2
ERI1	ERI1	3'-5' exoribonuclease 1	16:36261126-36319266	90459	ERI1
HDGFL2	HDGFL2	hepatoma-derived growth factor-related protein 2	20:55604586-55627320	84717	HDGFL2
MED19	MED19	mediator of RNA polymerase II transcription subunit 19	18:38959241-38966242	219541	MED19
MRPS16	MRPS16	"28S ribosomal protein S16, mitochondrial"	4:24561947-24563578	51021	MRPS16
MRPS7	MRPS7	"28S ribosomal protein S7, mitochondrial"	9:6110370-6114199	51081	MRPS7
SMIM20	SMIM20	small integral membrane protein 20	3:85077331-85090191	389203	SMIM20
LOC610677	LOC610677	caspase-14	6:38509712-38517925	<none>	<none>
NDUFA10	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10	25:50205078-50253281	4705	NDUFA10
SCAPER	SCAPER	S phase cyclin A-associated protein in the endoplasmic reticulum	30:39816412-40248871	49855	SCAPER
TMEM147	TMEM147	transmembrane protein 147	1:117963752-117965393	10430	TMEM147
DNAJC8	DNAJC8	dnaJ homolog subfamily C member 8	2:71588159-71613233	22826	DNAJC8
IKBKE	IKBKE	inhibitor of nuclear factor kappa-B kinase subunit epsilon	38:3331693-3356866	9641	IKBKE
SIKE1	SIKE1	suppressor of IKBKE 1	17:52992205-53003016	80143	SIKE1
MTIF3	MTIF3	"translation initiation factor IF-3, mitochondrial"	25:12218177-12232289	219402	MTIF3
DYNLL1	DYNLL1	"dynein light chain 1, cytoplasmic"	26:16715648-16747621	8655	DYNLL1
LCORL	LCORL	ligand-dependent nuclear receptor corepressor-like protein	3:91735818-91885867	254251	LCORL
NSFL1C	NSFL1C	NSFL1 cofactor p47	24:20080100-20103589	55968	NSFL1C
RIOK2	RIOK2	serine/threonine-protein kinase RIO2	3:12587610-12610085	55781	RIOK2
BET1	BET1	BET1 homolog	14:19450007-19459393	10282	BET1
POLR2G	POLR2G	DNA-directed RNA polymerase II subunit RPB7	18:54436033-54444050	5436	POLR2G
PPCS	PPCS	phosphopantothenate--cysteine ligase	15:880894-884302	79717	PPCS
WDR83	WDR83	WD repeat domain-containing protein 83	20:49837920-49842852	84292	WDR83
CHCHD8	CHCHD8	"cytochrome c oxidase assembly factor 4 homolog, mitochondrial"	21:24496344-24499850	51287	COA4
LIN7C	LIN7C	protein lin-7 homolog C	21:48950090-48960165	55327	LIN7C
PLRG1	PLRG1	pleiotropic regulator 1	15:52557769-52574252	5356	PLRG1
PNPO	PNPO	pyridoxine-5'-phosphate oxidase	9:24203867-24209469	55163	PNPO
B4GALT3	B4GALT3	"beta-1,4-galactosyltransferase 3"	38:22130365-22136121	8703	B4GALT3
LCN8	LCN8	epididymal-specific lipocalin-8	9:48789748-48795960	138307	LCN8
LOC119877792	LOC119877792	26S proteasome regulatory subunit 10B	32:4011200-4012752	<none>	<none>
RPS6KB1	RPS6KB1	ribosomal protein S6 kinase beta-1	9:34353112-34555827	6198	RPS6KB1
GET4	GET4	Golgi to ER traffic protein 4 homolog	6:16124295-16143046	51608	GET4
LOC479534	LOC479534	"protein phosphatase 6, catalytic subunit pseudogene"	5:43431867-43433383	<none>	<none>
MFSD8	MFSD8	major facilitator superfamily domain-containing protein 8	19:13716168-13841616	256471	MFSD8
TBRG1	TBRG1	transforming growth factor beta regulator 1	5:9789832-9802862	84897	TBRG1
HNRNPH2	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2	X:75727676-75733831	3188	HNRNPH2
RBBP8	RBBP8	DNA endonuclease RBBP8	7:65270573-65371708	5932	RBBP8
THOC7	THOC7	THO complex subunit 7 homolog	20:27556443-27579490	80145	THOC7
GTF3C2	GTF3C2	general transcription factor 3C polypeptide 2	17:21358573-21383332	2976	GTF3C2
TBC1D10B	TBC1D10B	TBC1 domain family member 10B	6:17888723-17900562	26000	TBC1D10B
CABIN1	CABIN1	calcineurin-binding protein cabin-1	26:28460896-28611816	23523	CABIN1
DDX55	DDX55	ATP-dependent RNA helicase DDX55	26:6251877-6265689	57696	DDX55
GFM2	GFM2	"ribosome-releasing factor 2, mitochondrial"	2:56499647-56561816	84340	GFM2
GNL3L	GNL3L	guanine nucleotide-binding protein-like 3-like protein	X:46610450-46637264	54552	GNL3L
LPIN2	LPIN2	phosphatidate phosphatase LPIN2	7:69645434-69726575	9663	LPIN2
PCNP	PCNP	PEST proteolytic signal-containing nuclear protein	33:8373424-8391453	57092	PCNP
GNL3	GNL3	guanine nucleotide-binding protein-like 3	20:37503889-37510799	26354	GNL3
LETMD1	LETMD1	LETM1 domain-containing protein 1	27:42882837-42891111	25875	LETMD1
TMEM60	TMEM60	transmembrane protein 60	18:18084736-18088937	85025	TMEM60
GLE1	GLE1	nucleoporin GLE1	9:55111743-55147456	2733	GLE1
SH3GLB1	SH3GLB1	endophilin-B1	6:61974409-62007415	51100	SH3GLB1
LOC484590	LOC484590	zinc finger protein 181	1:118566952-118576804	<none>	<none>
SLC39A3	SLC39A3	zinc transporter ZIP3	20:56930064-56935835	29985	SLC39A3
PDCD11	PDCD11	protein RRP5 homolog	28:15959630-16003888	22984	PDCD11
UQCRC2	UQCRC2	"cytochrome b-c1 complex subunit 2, mitochondrial"	6:23860075-23885610	7385	UQCRC2
LOC119877629	LOC119877629	uncharacterized LOC119877629	27:20339195-20341938	<none>	<none>
TIMMDC1	TIMMDC1	"complex I assembly factor TIMMDC1, mitochondrial"	33:23799928-23821209	51300	TIMMDC1
UBXN1	UBXN1	UBX domain-containing protein 1	18:54496856-54501245	51035	UBXN1
LOC119865448	LOC119865448	serine/Arginine-related protein 53	23:52053398-52450017	51319	RSRC1
SLC30A1	SLC30A1	zinc transporter 1	7:9807567-9814703	7779	SLC30A1
SMAD2	SMAD2	mothers against decapentaplegic homolog 2	7:43688637-43769813	4087	SMAD2
USP48	USP48	ubiquitin carboxyl-terminal hydrolase 48	2:76791995-76876474	84196	USP48
KDM8	KDM8	bifunctional peptidase and arginyl-hydroxylase JMJD5	6:19567219-19590503	79831	KDM8
TMEM268	TMEM268	transmembrane protein 268	11:69176702-69203116	203197	TMEM268
ZCCHC17	ZCCHC17	nucleolar protein of 40 kDa	2:69055592-69118094	51538	ZCCHC17
ALG11	ALG11	"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase"	22:120135-133689	440138	ALG11
LOC100684438	LOC100684438	uncharacterized gene	27:2504853-2505330	<none>	<none>
UQCRFS1	UQCRFS1	"cytochrome b-c1 complex subunit Rieske, mitochondrial"	1:122914720-122918053	7386	UQCRFS1
CCDC71	CCDC71	coiled-coil domain-containing protein 71	20:40439014-40444522	64925	CCDC71
GOSR1	GOSR1	Golgi SNAP receptor complex member 1	9:44449010-44506170	9527	GOSR1
SAYSD1	SAYSD1	SAYSvFN domain-containing protein 1	12:8232892-8239478	55776	SAYSD1
CCNT1	CCNT1	cyclin-T1	27:40832282-40861450	904	CCNT1
HNRNPL	HNRNPL	heterogeneous nuclear ribonucleoprotein L	1:115054052-115068304	3191	HNRNPL
UBE3A	UBE3A	ubiquitin-protein ligase E3A	3:35647966-35743745	7337	UBE3A
H1-1	H1-1	histone H1.1	35:25381155-25389674	3024	H1-1
LOC100686569	LOC100686569	proteasome subunit alpha type-6-like	16:55040252-55041231	<none>	<none>
OTUB1	OTUB1	"OTU domain, ubiquitin aldehyde binding 1"	18:53541625-53548912	55611	OTUB1
POLR1A	POLR1A	DNA-directed RNA polymerase I subunit RPA1	17:39313308-39394902	25885	POLR1A
UTP6	UTP6	U3 small nucleolar RNA-associated protein 6 homolog	9:41040389-41067569	55813	UTP6
TTC27	TTC27	tetratricopeptide repeat protein 27	17:25894919-26067350	55622	TTC27
YME1L1	YME1L1	ATP-dependent zinc metalloprotease YME1L1	2:4595391-4639187	10730	YME1L1
ABCA12	ABCA12	ATP-binding cassette sub-family A member 12	37:22017286-22187312	26154	ABCA12
SSBP1	SSBP1	single stranded DNA binding protein 1	16:7236927-7246487	6742	SSBP1
ZUP1	ZUP1	zinc finger-containing ubiquitin peptidase 1	1:57633012-57661676	221302	ZUP1
THAP4	THAP4	peroxynitrite isomerase THAP4	25:51520478-51559045	51078	THAP4
TSC1	TSC1	hamartin	9:51486514-51537117	7248	TSC1
POLR3H	POLR3H	DNA-directed RNA polymerase III subunit RPC8	10:24685664-24699377	171568	POLR3H
GATD1	GATD1	Parkinson disease 7 domain containing 1	18:26146693-26154128	347862	GATD1
LOC119872230	LOC119872230	"ATP synthase F(0) complex subunit B1, mitochondrial"	6:41083593-41096156	<none>	<none>
VPS33B	VPS33B	vacuolar protein sorting-associated protein 33B	3:53707565-53726966	26276	VPS33B
PUM1	PUM1	pumilio homolog 1	2:69304173-69438252	9698	PUM1
ATXN7L3	ATXN7L3	ataxin-7-like protein 3	9:19073756-19081419	56970	ATXN7L3
CWC15	CWC15	spliceosome-associated protein CWC15 homolog	21:6116456-6127895	51503	CWC15
LOC119871803	LOC119871803	uncharacterized LOC119871803	5:15192822-15195657	<none>	<none>
HSPA14	HSPA14	heat shock 70 kDa protein 14	2:20720740-20758898	51182	HSPA14
LOC111090000	LOC111090000	"uncharacterized LOC111090000, transcript variant X22"	11:74594054-74624760	<none>	<none>
OXNAD1	OXNAD1	oxidoreductase NAD-binding domain-containing protein 1	23:26998388-27034885	92106	OXNAD1
TSR1	TSR1	pre-rRNA-processing protein TSR1 homolog	9:46367963-46378768	55720	TSR1
KRT10	KRT10	"keratin, type I cytoskeletal 10"	9:21814216-21819078	3858	KRT10
LOC608210	LOC608210	"succinate dehydrogenase complex, subunit B, iron sulfur (Ip) pseudogene"	14:5186000-5186987	<none>	<none>
SELENOO	SELENOO	selenoprotein O	10:17931423-17939322	83642	SELENOO
TRMT1L	TRMT1L	TRMT1-like protein	7:18175449-18211438	81627	TRMT1L
HTT	HTT	huntingtin	3:61608204-61752888	3064	HTT
SETD3	SETD3	actin-histidine N-methyltransferase	8:68232725-68312327	84193	SETD3
WRAP53	WRAP53	telomerase Cajal body protein 1	5:32780842-32793885	55135	WRAP53
AGO1	AGO1	protein argonaute-1	15:6330625-6367229	<none>	<none>
EIF4A1	EIF4A1	eukaryotic translation initiation factor 4A1	5:32703022-32709152	1973	EIF4A1
C7H18orf32	C7H18orf32	UPF0729 protein C18orf32 homolog	7:79366016-79370754	497661	C18orf32
FTSJ1	FTSJ1	putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase	X:41930031-41939465	24140	FTSJ1
NCOA3	NCOA3	nuclear receptor coactivator 3	24:35208068-35353609	8202	NCOA3
ESS2	ESS2	splicing factor ESS-2 homolog	26:30199961-30210480	8220	ESS2
CLNS1A	CLNS1A	chloride nucleotide-sensitive channel 1A	21:21251643-21275242	1207	CLNS1A
PRMT7	PRMT7	protein arginine N-methyltransferase 7	5:81758874-81802993	54496	PRMT7
CCDC91	CCDC91	coiled-coil domain-containing protein 91	27:26977430-27310304	55297	CCDC91
LSM5	LSM5	U6 snRNA-associated Sm-like protein LSm5	14:44955444-44958504	23658	LSM5
RB1CC1	RB1CC1	RB1-inducible coiled-coil protein 1	29:4742370-4841030	9821	RB1CC1
AHCTF1	AHCTF1	protein ELYS	7:37500950-37578194	25909	AHCTF1
RABIF	RABIF	guanine nucleotide exchange factor MSS4	7:416798-425589	5877	RABIF
ATP6V1E1	ATP6V1E1	V-type proton ATPase subunit E 1	27:788311-814762	529	ATP6V1E1
FAM151B	FAM151B	protein FAM151B	3:26729883-26762576	167555	FAM151B
LOC102153166	LOC102153166	uncharacterized LOC102153166	17:52147939-52166292	<none>	<none>
VSIG10L	VSIG10L	V-set and immunoglobulin domain-containing protein 10-like	1:106245712-106256507	147645	VSIG10L
WDR70	WDR70	WD repeat-containing protein 70	4:71944544-72240587	55100	WDR70
ELP1	ELP1	elongator complex protein 1	11:64402753-64461318	8518	ELP1
FBXL6	FBXL6	F-box/LRR-repeat protein 6	13:38533384-38536341	26233	FBXL6
NUBP1	NUBP1	cytosolic Fe-S cluster assembly factor NUBP1	6:32194799-32216643	4682	NUBP1
PAF1	PAF1	RNA polymerase II-associated factor 1 homolog	1:114615153-114619983	54623	PAF1
PIK3C3	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	7:48638915-48775800	5289	PIK3C3
TAF1D	TAF1D	TATA box-binding protein-associated factor RNA polymerase I subunit D	21:7093040-7103156	79101	TAF1D
DOK1	DOK1	docking protein 1	17:49089579-49094795	1796	DOK1
RAB14	RAB14	ras-related protein Rab-14	11:74572713-74595040	51552	RAB14
LOC111092516	LOC111092516	uncharacterized protein LOC111092516	26:38979844-38986786	<none>	<none>
MCM3AP	MCM3AP	germinal-center associated nuclear protein	31:39489405-39541541	8888	MCM3AP
C1H9orf85	C1H9orf85	uncharacterized protein C9orf85 homolog	1:86421732-86482033	138241	C9orf85
RHOG2	RHOG2	rho-related GTP-binding protein RhoG	X:55875192-55884999	<none>	<none>
FBXL20	FBXL20	F-box/LRR-repeat protein 20	9:22973729-23078189	84961	FBXL20
POC5	POC5	centrosomal protein POC5	3:30916838-30954184	134359	POC5
PIP4K2B	PIP4K2B	phosphatidylinositol 5-phosphate 4-kinase type-2 beta	9:23399552-23427598	8396	PIP4K2B
PHOSPHO2	PHOSPHO2	pyridoxal phosphate phosphatase PHOSPHO2	36:14700509-14706498	493911	PHOSPHO2
XPO6	XPO6	exportin-6	6:18734168-18836172	23214	XPO6
ZNF213	ZNF213	zinc finger protein 213	6:38517968-38521531	7760	ZNF213
PDCD2	PDCD2	programmed cell death protein 2	12:72953917-72959885	5134	PDCD2
TFCP2	TFCP2	alpha-globin transcription factor CP2	27:42914279-42975638	7024	TFCP2
TRIM41	TRIM41	E3 ubiquitin-protein ligase TRIM41	11:599986-609412	90933	TRIM41
C21H11orf58	C21H11orf58	small acidic protein	21:40060720-40073650	10944	C11orf58
EIF1	EIF1	eukaryotic translation initiation factor 1	9:20975447-20978192	10209	EIF1
PSMD13	PSMD13	26S proteasome non-ATPase regulatory subunit 13	18:25740396-25753256	5719	PSMD13
LOC119878057	LOC119878057	histone-binding protein RBBP7	X:13067512-13091937	<none>	<none>
CHD8	CHD8	chromodomain-helicase-DNA-binding protein 8	15:18556498-18618517	57680	CHD8
L3MBTL2	L3MBTL2	lethal(3)malignant brain tumor-like protein 2	10:24956795-24978045	83746	L3MBTL2
MFN1	MFN1	mitofusin-1	34:12956997-12989281	55669	MFN1
SARNP	SARNP	SAP domain-containing ribonucleoprotein	10:505504-555421	84324	SARNP
TIMM9	TIMM9	mitochondrial import inner membrane translocase subunit Tim9	8:34051958-34068609	26520	TIMM9
VARS1	VARS1	valine--tRNA ligase	12:1392511-1406073	7407	VARS1
ABCE1	ABCE1	ATP-binding cassette sub-family E member 1	15:44074527-44106452	6059	ABCE1
LOC111092952	LOC111092952	uncharacterized gene	28:25991595-25995726	<none>	<none>
ESD	ESD	S-formylglutathione hydrolase	22:4507823-4533160	2098	ESD
WIPI2	WIPI2	WD repeat domain phosphoinositide-interacting protein 2	6:12813373-12855416	26100	WIPI2
ZFYVE26	ZFYVE26	zinc finger FYVE domain-containing protein 26	8:41993171-42056531	23503	ZFYVE26
ENSA	ENSA	alpha-endosulfine	17:60458340-60465403	2029	ENSA
MANF	MANF	mesencephalic astrocyte-derived neurotrophic factor	20:38602609-38606281	7873	MANF
WDR44	WDR44	WD repeat-containing protein 44	X:91251305-91333551	54521	WDR44
MLYCD	MLYCD	"malonyl-CoA decarboxylase, mitochondrial"	5:68883325-68898237	23417	MLYCD
SHOC2	SHOC2	leucine-rich repeat protein SHOC-2	28:22466604-22563246	8036	SHOC2
SNAP29	SNAP29	synaptosomal-associated protein 29	26:30774254-30798700	9342	SNAP29
BROX	BROX	BRO1 domain-containing protein BROX	38:17667450-17688535	148362	BROX
STIM1	STIM1	stromal interaction molecule 1	21:26514667-26713342	6786	STIM1
EIF3J	EIF3J	eukaryotic translation initiation factor 3 subunit J	30:11493428-11519374	8669	EIF3J
